trial,mae,mre_pct,spearman
1,6.256756756756757,31.129046768807168,0.9715651537269513
2,4.716216216216216,28.489306367422458,0.9727920957024323
3,5.9324324324324325,30.123467048722695,0.9745482969392761
4,6.283783783783784,37.19259579036042,0.9645149301959922
5,6.3108108108108105,27.615570364178193,0.9816656143897794
6,4.9324324324324325,27.85873542660614,0.9722137869201053
7,6.22972972972973,28.65090490574027,0.975961729473697
8,6.094594594594595,29.42816983438657,0.9748198660951969
9,5.716216216216216,27.807744820305857,0.9720133957981066
10,5.175675675675675,29.14669574481694,0.9750695294696348
11,3.9594594594594597,27.88318606183668,0.9771401575067142
12,6.094594594594595,28.97688329314811,0.9827812782639255
13,4.662162162162162,26.13153544988338,0.9768432289033296
14,6.094594594594595,26.03925499461469,0.9814304484731874
15,6.148648648648648,27.244817557262646,0.9741959774186035
16,6.391891891891892,26.39972959684093,0.977235586307006
17,5.662162162162162,28.16668181272604,0.9753689817507768
18,4.77027027027027,32.05613789351029,0.9689454078477218
19,6.0675675675675675,27.998017828993284,0.9763090555971344
20,5.986486486486487,25.619195304281916,0.9803657271192162
